word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
work,601,1287,6005,23700,0.09097789887980624,0.05150678352743426,1888,1.8437274892836906,0.882625435099039,144.86744619656181,2.2958345857406697e-33,6606,24987,negative,1.8262598851371779e-31,True
before,476,941,6130,24046,0.07205570693309113,0.03765958298315124,1417,1.985173901523957,0.9892653932004909,144.28827553122798,3.073011244834522e-33,6606,24987,negative,2.380985076192566e-31,True
pve,78,41,6528,24946,0.011807447774750226,0.0016408532436867171,119,7.227993847181635,2.8535952781111567,143.91155242510888,3.714741571730517e-33,6606,24987,negative,2.841301053454393e-31,True
page,107,84,6499,24903,0.016197396306388133,0.003361748109016689,191,4.874523802695792,2.285261287365754,143.24797383077225,5.188154920533622e-33,6606,24987,negative,3.9180420577093155e-31,True
fake,59,19,6547,24968,0.00893127459884953,0.0007603954056109177,78,11.63588177127696,3.5405086377188173,141.63455372169796,1.1689310982797724e-32,6606,24987,negative,8.717303665421403e-31,True
shitty,37,0,6569,24987,0.005600968816227672,0.0,37,285.26714361823576,8.156169780126755,140.11550345339958,2.511631259328752e-32,6606,24987,negative,1.8499249497722636e-30,True
refunded,58,19,6548,24968,0.00877989706327581,0.0007603954056109177,77,11.438573719172329,3.5158352679338485,138.20269106832987,6.580535289114793e-32,6606,24987,negative,4.7877406749827865e-30,True
dollars,81,48,6525,24939,0.01226158038147139,0.0019209989194381078,129,6.422288610818621,2.683087499701,137.38199873642512,9.948268705048493e-32,6606,24987,negative,7.150767601725218e-30,True
anymore,117,106,6489,24881,0.017711171662125342,0.004242205947092488,223,4.230128698327055,2.080701556870926,135.23610898969483,2.9315122425558536e-31,6606,24987,negative,2.0820716713200266e-29,True
frustrating,167,201,6439,24786,0.025280048440811383,0.008044182975147076,368,3.199652539951451,1.6779152469546168,134.8216006792782,3.612086280180365e-31,6606,24987,negative,2.535259617359536e-29,True
buggy,128,128,6478,24859,0.01937632455343627,0.0051226637851682875,256,3.8372308404723316,1.9400655573272507,132.06842779153072,1.4454979547973602e-30,6606,24987,negative,9.912460687725346e-29,True
loading,90,64,6516,24923,0.013623978201634877,0.0025613318925841438,154,5.366405611991504,2.4239561027336056,131.8172248261635,1.6404873755144498e-30,6606,24987,negative,1.112175872990819e-28,True
