word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
fresh,11,255,6595,24732,0.0016651528913109294,0.010205306759514948,266,0.16878242756098455,-2.5667633862824117,45.64303353391143,1.4188981074386997e-11,6606,24987,positive,1.987123499760395e-10,True
unsettling,7,224,6599,24763,0.001059642749016046,0.008964661624044502,231,0.125356226791157,-2.9958944342751037,44.981470169579936,1.9890774826367765e-11,6606,24987,positive,2.746952838289585e-10,True
environments,19,304,6587,24683,0.0028761731759006964,0.012166326489774682,323,0.23995700171058412,-2.0591521847890277,44.56140878401048,2.4650287916910646e-11,6606,24987,positive,3.380772820972159e-10,True
immersion,42,442,6564,24545,0.006357856494096276,0.017689198383159244,484,0.35912520391955877,-1.477441187933872,44.47078826904898,2.581808919551515e-11,6606,24987,positive,3.524356061485635e-10,True
chill,18,297,6588,24690,0.0027247956403269754,0.011886180814023293,315,0.23303872357169322,-2.101358390381219,44.423861844069094,2.6444416207598673e-11,6606,24987,positive,3.5937901388276464e-10,True
pacing,31,377,6575,24610,0.004692703602785346,0.015087845679753471,408,0.31230954159052193,-1.67895144805515,44.28926786614379,2.832649081514447e-11,6606,24987,positive,3.840814640980725e-10,True
narrative,56,519,6550,24468,0.008477141992128368,0.02077080081642454,575,0.40625226134204684,-1.2995522512918265,44.190023243060814,2.979962022554231e-11,6606,24987,positive,4.0313953348205307e-10,True
refreshing,5,205,6601,24782,0.0007568876778686043,0.008204266218433585,210,0.1004739208979453,-3.3151070121266146,43.887077359008714,3.4787816339166136e-11,6606,24987,positive,4.695568151119121e-10,True
tone,27,348,6579,24639,0.004087193460490463,0.013927242165926283,375,0.2955077741905835,-1.7587320097005663,43.13220948023965,5.1163004989635444e-11,6606,24987,positive,6.69382648614397e-10,True
challenging,19,297,6587,24690,0.0028761731759006964,0.011886180814023293,316,0.24567269944030742,-2.025190548829211,42.83331619870258,5.960828839806536e-11,6606,24987,positive,7.747778836227843e-10,True
compelling,11,244,6595,24743,0.0016651528913109294,0.009765077840477048,255,0.17645435576930976,-2.502633051455919,42.81481647554524,6.017466475449177e-11,6606,24987,positive,7.804392389680389e-10,True
layer,8,221,6598,24766,0.0012110202845897668,0.008844599191579622,229,0.14403386363718002,-2.795520052956817,42.30902570472706,7.793207267952372e-11,6606,24987,positive,9.998768722710506e-10,True
blast,9,228,6597,24759,0.0013623978201634877,0.009124744867331011,237,0.1560270409436636,-2.6801320116038685,42.28250056331119,7.899625101042469e-11,6606,24987,positive,1.0027481564429653e-09,True
structure,14,262,6592,24725,0.002119285498032092,0.010485452435266338,276,0.20717323076367444,-2.271090493115109,42.2286669059208,8.120096485620707e-11,6606,24987,positive,1.0263664329070579e-09,True
subtle,12,248,6594,24739,0.0018165304268846503,0.009925161083763557,260,0.18870902265515146,-2.405764691405012,42.08848225544677,8.723548419127295e-11,6606,24987,positive,1.1003105680446815e-09,True
indie,47,459,6559,24528,0.007114744171964881,0.018369552167126907,506,0.38655237679097365,-1.3712641862559352,41.994305610987126,9.153960176102636e-11,6606,24987,positive,1.1521630044436356e-09,True
thoughtful,4,189,6602,24798,0.0006055101422948834,0.00756393324528755,193,0.08919084979204527,-3.4869604800413447,41.66565956351096,1.0829450899931373e-10,6606,24987,positive,1.3516423445395517e-09,True
music,114,805,6492,24182,0.01725703905540418,0.03221675271140993,919,0.5294551536928324,-0.9174196057311108,41.40036695816781,1.240341013405407e-10,6606,24987,positive,1.5384354440699915e-09,True
carefully,6,202,6600,24785,0.0009082652134423251,0.008084203785968703,208,0.12053389146538655,-3.052489237442135,41.135379708647804,1.4204177984824472e-10,6606,24987,positive,1.75449535936776e-09,True
story,456,2355,6150,22632,0.06902815622161672,0.09424900948493216,2811,0.7131481821461604,-0.48772621536340516,40.999757683928934,1.522480947763524e-10,6606,24987,positive,1.872808522547873e-09,True
relying,3,176,6603,24811,0.00045413260672116256,0.007043662704606395,179,0.0745078742902028,-3.7464632863595324,40.26949424494407,2.2123668911680385e-10,6606,24987,positive,2.666460782365357e-09,True
helps,8,213,6598,24774,0.0012110202845897668,0.008524432705006604,221,0.1494791857989157,-2.7419834842783426,40.22992321138996,2.2576358324969973e-10,6606,24987,positive,2.7100715043615865e-09,True
atmospheric,14,253,6592,24734,0.002119285498032092,0.010125265137871693,267,0.21460658105446764,-2.2202337769053884,39.96283697012276,2.588408830290494e-10,6606,24987,positive,3.0946787738503177e-09,True
tense,6,197,6600,24790,0.0009082652134423251,0.007884099731860567,203,0.1236103133728841,-3.0161289759882477,39.82433562503176,2.7786136911926426e-10,6606,24987,positive,3.2956678492356477e-09,True
awesome,55,491,6551,24496,0.008325764456554648,0.019650218113418976,546,0.42221412023944566,-1.2439532668920603,39.45170590369728,3.362738406954007e-10,6606,24987,positive,3.949231759032993e-09,True
role,28,338,6578,24649,0.004238570996064184,0.013527034057710009,366,0.3154767965876037,-1.664394196427653,39.36587613816885,3.5138425172814216e-10,6606,24987,positive,4.1105067564903845e-09,True
fmv,28,337,6578,24650,0.004238570996064184,0.013487013246888382,365,0.31642437907999965,-1.6600673376086552,39.133049897206284,3.958853474501993e-10,6606,24987,positive,4.612992154077908e-09,True
blend,9,211,6597,24776,0.0013623978201634877,0.008444391083363348,220,0.1686839613472042,-2.5676052877399584,37.89447040231635,7.467659915002737e-10,6606,24987,positive,8.311951315840733e-09,True
reinforces,0,142,6606,24845,0.0,0.005682955136671069,142,0.013195669867926457,-6.243791599958935,37.7111004542495,8.203640301211041e-10,6606,24987,positive,9.114137437062397e-09,True
provides,9,210,6597,24777,0.0013623978201634877,0.008404370272541721,219,0.16949215089930955,-2.560709630498243,37.6372765559438,8.520061093752045e-10,6606,24987,positive,9.430553707852449e-09,True
chapters,6,188,6600,24799,0.0009082652134423251,0.007523912434465922,194,0.1295591504300876,-2.9483171819250313,37.468877600147465,9.288333094203831e-10,6606,24987,positive,1.0242919637711656e-08,True
growth,3,165,6603,24822,0.00045413260672116256,0.006603433785568495,168,0.07949528733389348,-3.65298685317076,37.351712163648486,9.863424996289736e-10,6606,24987,positive,1.0797283216121939e-08,True
short,218,1270,6388,23717,0.03300030275507115,0.0508264297434666,1488,0.6384792417578603,-0.6472883791094322,36.99269594486398,1.1857258966273778e-09,6606,24987,positive,1.2861892180507155e-08,True
offering,11,221,6595,24766,0.0016651528913109294,0.008844599191579622,232,0.19495798233045206,-2.358764869452667,36.94431080798813,1.2155185224461188e-09,6606,24987,positive,1.3161131587864873e-08,True
hooked,6,184,6600,24803,0.0009082652134423251,0.007363829191179413,190,0.13238937101135273,-2.917140796041035,36.423962703122506,1.5873956409581867e-09,6606,24987,positive,1.6972047300997386e-08,True
anomalies,17,257,6589,24730,0.0025734181047532547,0.010285348381158202,274,0.2550593508207011,-1.9710951020318916,36.14192604809798,1.8345700684866798e-09,6606,24987,positive,1.9406108206722573e-08,True
psychological,8,197,6598,24790,0.0012110202845897668,0.007884099731860567,205,0.16169325019207473,-2.628668639438003,36.08931504932284,1.884774835758993e-09,6606,24987,positive,1.990188791174894e-08,True
strategic,12,223,6594,24764,0.0018165304268846503,0.008924640813222876,235,0.21002944118403868,-2.2513365209335916,35.75490782957847,2.237675524946019e-09,6606,24987,positive,2.3503472151105543e-08,True
oppressive,1,143,6605,24844,0.00015137753557372085,0.005722975947492696,144,0.039315510751915375,-4.668757593063211,35.74652528326222,2.2473243520911666e-09,6606,24987,positive,2.3547212063871562e-08,True
engaging,81,607,6525,24380,0.01226158038147139,0.024292632168727738,688,0.5012335588809081,-0.9964450848359978,35.50042561859513,2.5499484577941703e-09,6606,24987,positive,2.659614073286717e-08,True
