appid,game_name,review_text,voted_up,votes_up,weighted_vote_score,timestamp
2912430,Platypus Reclayed,"This game is beautiful looking, the graphics and animations are awesome.  The music is nice, the game runs well, and the controls are perfectly fine.  As someone who loves the clay aesthetic, this should have been right up my alley.  Sadly, while the graphics and music are good, the gameplay really suffers.  

I know this game is a remake, and seems to be very faithful.  I do applaud them for that.  However, as far as shmups go, this game is excruciating.  Stages are long and drawn out, enemy patterns repeat far too often with little variation, powerups are set to a timer so you cannot take any with you and strategize your play.  

It's sad to me, because this game looks so awesome and you can tell they put a lot of great amazing work into it.  If you are a beginner, have kids, or are nostalgic for the original then this is probably a good game to pick up.  For those of us looking for a bit more, this is a skip.",False,7,0.4823085665702819,1763057984
2912430,Platypus Reclayed,"This game is beautiful looking, the graphics and animations are awesome.  The music is nice, the game runs well, and the controls are perfectly fine.  As someone who loves the clay aesthetic, this should have been right up my alley.  Sadly, while the graphics and music are good, the gameplay really suffers.  

I know this game is a remake, and seems to be very faithful.  I do applaud them for that.  However, as far as shmups go, this game is excruciating.  Stages are long and drawn out, enemy patterns repeat far too often with little variation, powerups are set to a timer so you cannot take any with you and strategize your play.  

It's sad to me, because this game looks so awesome and you can tell they put a lot of great amazing work into it.  If you are a beginner, have kids, or are nostalgic for the original then this is probably a good game to pick up.  For those of us looking for a bit more, this is a skip.",False,7,0.4823085665702819,1763057984
1996010,Crow Country,"I love getting jumped by 5+ enemies in a tiny room.

Buy it if you have nostalgia for old games and you like the art direction.",False,0,0.4221105575561523,1767926368
1996010,Crow Country,"It seems like you have to have grown up on the old resident evil games to enjoy this.
The aiming system for the guns is absolute dogshit, I don't know how you could enjoy using it, plus it takes so much ammo to kill something, but ammo is very sparse, and running away just makes you lose a shit ton of health because enemies will just lunge at you, and you just have to use all of your supplies to heal.
There's an exploration mode, but I usually prefer to play these games the intended way, so I chose the survival horror mode. But it's just too unforgiving, it's not really a challenge at all it's just unfair- but maybe if you're used to playing with shitty controls you can play it and enjoy it, but to me it's way too much effort to try and deal with janky, unintuitive controls to play the game, like seriously whenever I try to aim my gun it goes in a random direction and disorients me, so while I scramble to move my camera to the right position, I get hit by the enemies, also the aiming is slow as fuck which adds even more to the difficulty- and, like I said, it takes a million bullets to finally kill something. This sucks for times when you are required to fight off a monster. 
Another reason I wouldn't want to do the exploration mode is because at that point if the game isn't fun to play, I'll just watch someone do a playthrough, because I do not really enjoy walking simulators on my own, I'd get much more enjoyment watching someone play it than just go through the tedium of exploring. 
I'm not even saying it's a bad game, I'm mostly just saying it's not for me. Maybe if you're nostalgic for oldschool survival horror, you'll like this- but I personally have no attachment to it. So, if anything I said here are things you don't like in games, don't buy it. Even half-priced I still refunded it, but honestly I wouldn't have known it wasn't for me if I had never at least tried it, cause, like I said, I never grew up with games like this.",False,1,0.3873861730098724,1768729104
1996010,Crow Country,"There's clearly a lot of care and love that went into this game. The folks who made it love old school survival horror and it shows. However, I didn't have fun playing it. Old survival horror has the occasional puzzle but this game is very puzzle heavy. And a lot of time you have to go through one end of the area to the other. Backtracking is a way of life for this game. The biggest problem with this is that the enemies respawn and get worse. You get the occasional new area but mostly you're trying to remember where that puzzle was that you finally found the item for. There are a few ways to change the difficulty, turning off monsters entirely and there's a hint system so the developers have done some ways to mitigate the issues. However, I would rather not change the way the game is meant to be played and instead I just watched the second half on Youtube. The story is okay but fairly basic. There's no huge surprises. It's not horrible by any means, if puzzles are your favourite part of survival horror and you can deal with clunky aiming and monsters that just keep coming back, then give this game a try. But if that doesn't sound like you, I'd just say give it a pass.",False,2,0.5560253858566284,1764609788
1996010,Crow Country,"I love getting jumped by 5+ enemies in a tiny room.

Buy it if you have nostalgia for old games and you like the art direction.",False,0,0.4221105575561523,1767926368
1996010,Crow Country,"I think these are the worst controls I have ever played a game with. I shouldn't have to buy a controller to get reasonable controls, we paid for 100% of the game so the developer should do 100% of their job, these controls are horrendous, should be fixed. This game make sure to copy all of what made old resident evil and silent hills boring and tedious, but none of what made them good, if you fix the controls then the game might be somewhat playable. 2/10",False,3,0.4134275615215301,1767440912
1996010,Crow Country,"It seems like you have to have grown up on the old resident evil games to enjoy this.
The aiming system for the guns is absolute dogshit, I don't know how you could enjoy using it, plus it takes so much ammo to kill something, but ammo is very sparse, and running away just makes you lose a shit ton of health because enemies will just lunge at you, and you just have to use all of your supplies to heal.
There's an exploration mode, but I usually prefer to play these games the intended way, so I chose the survival horror mode. But it's just too unforgiving, it's not really a challenge at all it's just unfair- but maybe if you're used to playing with shitty controls you can play it and enjoy it, but to me it's way too much effort to try and deal with janky, unintuitive controls to play the game, like seriously whenever I try to aim my gun it goes in a random direction and disorients me, so while I scramble to move my camera to the right position, I get hit by the enemies, also the aiming is slow as fuck which adds even more to the difficulty- and, like I said, it takes a million bullets to finally kill something. This sucks for times when you are required to fight off a monster. 
Another reason I wouldn't want to do the exploration mode is because at that point if the game isn't fun to play, I'll just watch someone do a playthrough, because I do not really enjoy walking simulators on my own, I'd get much more enjoyment watching someone play it than just go through the tedium of exploring. 
I'm not even saying it's a bad game, I'm mostly just saying it's not for me. Maybe if you're nostalgic for oldschool survival horror, you'll like this- but I personally have no attachment to it. So, if anything I said here are things you don't like in games, don't buy it. Even half-priced I still refunded it, but honestly I wouldn't have known it wasn't for me if I had never at least tried it, cause, like I said, I never grew up with games like this.",False,1,0.3873861730098724,1768729104
1996010,Crow Country,"Very frustrating, to the point of not even being fun.",False,2,0.4663562476634979,1767028494
1996010,Crow Country,My disappointment with this game is immeasurable...,False,0,0.3100657165050506,1766264202
